id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_pendidikan,satuan,tahun
86,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,55.79,POIN,2013
87,32,JAWA BARAT,3209,KABUPATEN CIREBON,52.18,POIN,2013
88,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,54.0,POIN,2013
89,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,60.68,POIN,2013
90,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,49.19,POIN,2013
91,32,JAWA BARAT,3213,KABUPATEN SUBANG,52.58,POIN,2013
92,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,54.87,POIN,2013
93,32,JAWA BARAT,3215,KABUPATEN KARAWANG,53.84,POIN,2013
94,32,JAWA BARAT,3216,KABUPATEN BEKASI,59.53,POIN,2013
95,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,55.17,POIN,2013
96,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,55.26,POIN,2013
97,32,JAWA BARAT,3271,KOTA BOGOR,66.81,POIN,2013
98,32,JAWA BARAT,3272,KOTA SUKABUMI,64.72,POIN,2013
99,32,JAWA BARAT,3273,KOTA BANDUNG,71.05,POIN,2013
100,32,JAWA BARAT,3274,KOTA CIREBON,66.04,POIN,2013
101,32,JAWA BARAT,3275,KOTA BEKASI,71.64,POIN,2013
102,32,JAWA BARAT,3276,KOTA DEPOK,71.53,POIN,2013
103,32,JAWA BARAT,3277,KOTA CIMAHI,73.58,POIN,2013
104,32,JAWA BARAT,3278,KOTA TASIKMALAYA,64.54,POIN,2013
105,32,JAWA BARAT,3279,KOTA BANJAR,59.67,POIN,2013
106,32,JAWA BARAT,3201,KABUPATEN BOGOR,58.6,POIN,2014
107,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,54.87,POIN,2014
108,32,JAWA BARAT,3203,KABUPATEN CIANJUR,54.59,POIN,2014
109,32,JAWA BARAT,3204,KABUPATEN BANDUNG,60.4,POIN,2014
110,32,JAWA BARAT,3205,KABUPATEN GARUT,55.06,POIN,2014
111,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,57.36,POIN,2014
112,32,JAWA BARAT,3207,KABUPATEN CIAMIS,62.5,POIN,2014
113,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,56.82,POIN,2014
114,32,JAWA BARAT,3209,KABUPATEN CIREBON,53.26,POIN,2014
115,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,54.74,POIN,2014
116,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,61.34,POIN,2014
117,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,50.45,POIN,2014
118,32,JAWA BARAT,3213,KABUPATEN SUBANG,53.26,POIN,2014
119,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,55.37,POIN,2014
120,32,JAWA BARAT,3215,KABUPATEN KARAWANG,54.92,POIN,2014
121,32,JAWA BARAT,3216,KABUPATEN BEKASI,60.51,POIN,2014
122,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,55.74,POIN,2014
123,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,56.53,POIN,2014
124,32,JAWA BARAT,3271,KOTA BOGOR,67.33,POIN,2014
125,32,JAWA BARAT,3272,KOTA SUKABUMI,65.63,POIN,2014
126,32,JAWA BARAT,3273,KOTA BANDUNG,72.04,POIN,2014
127,32,JAWA BARAT,3274,KOTA CIREBON,67.71,POIN,2014
128,32,JAWA BARAT,3275,KOTA BEKASI,72.04,POIN,2014
129,32,JAWA BARAT,3276,KOTA DEPOK,72.21,POIN,2014
130,32,JAWA BARAT,3277,KOTA CIMAHI,74.02,POIN,2014
131,32,JAWA BARAT,3278,KOTA TASIKMALAYA,65.47,POIN,2014
132,32,JAWA BARAT,3279,KOTA BANJAR,60.38,POIN,2014
133,32,JAWA BARAT,3201,KABUPATEN BOGOR,58.68,POIN,2015
134,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,55.41,POIN,2015
135,32,JAWA BARAT,3203,KABUPATEN CIANJUR,54.66,POIN,2015
136,32,JAWA BARAT,3204,KABUPATEN BANDUNG,61.75,POIN,2015
137,32,JAWA BARAT,3205,KABUPATEN GARUT,55.18,POIN,2015
138,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,57.47,POIN,2015
139,32,JAWA BARAT,3207,KABUPATEN CIAMIS,62.56,POIN,2015
140,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,57.42,POIN,2015
141,32,JAWA BARAT,3209,KABUPATEN CIREBON,53.82,POIN,2015
142,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,55.26,POIN,2015
143,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,61.39,POIN,2015
144,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,51.79,POIN,2015
145,32,JAWA BARAT,3213,KABUPATEN SUBANG,53.35,POIN,2015
146,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,56.26,POIN,2015
147,32,JAWA BARAT,3215,KABUPATEN KARAWANG,55.18,POIN,2015
148,32,JAWA BARAT,3216,KABUPATEN BEKASI,62.02,POIN,2015
149,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,56.74,POIN,2015
150,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,56.83,POIN,2015
151,32,JAWA BARAT,3271,KOTA BOGOR,68.35,POIN,2015
152,32,JAWA BARAT,3272,KOTA SUKABUMI,67.05,POIN,2015
153,32,JAWA BARAT,3273,KOTA BANDUNG,72.95,POIN,2015
154,32,JAWA BARAT,3274,KOTA CIREBON,68.47,POIN,2015
155,32,JAWA BARAT,3275,KOTA BEKASI,72.8,POIN,2015
156,32,JAWA BARAT,3276,KOTA DEPOK,73.31,POIN,2015
157,32,JAWA BARAT,3277,KOTA CIMAHI,74.09,POIN,2015
158,32,JAWA BARAT,3278,KOTA TASIKMALAYA,65.68,POIN,2015
159,32,JAWA BARAT,3279,KOTA BANJAR,62.86,POIN,2015
160,32,JAWA BARAT,3201,KABUPATEN BOGOR,59.57,POIN,2016
161,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,56.3,POIN,2016
