id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pdrb_adhb_per_kapita,satuan,tahun
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,24682,RIBU RUPIAH,2022
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,24468,RIBU RUPIAH,2022
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,28289,RIBU RUPIAH,2022
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,34464,RIBU RUPIAH,2022
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,48494,RIBU RUPIAH,2022
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,28386,RIBU RUPIAH,2022
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,74345,RIBU RUPIAH,2022
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,107067,RIBU RUPIAH,2022
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,114338,RIBU RUPIAH,2022
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,28653,RIBU RUPIAH,2022
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,30445,RIBU RUPIAH,2022
154,32,JAWA BARAT,3271,KOTA BOGOR,49755,RIBU RUPIAH,2022
155,32,JAWA BARAT,3272,KOTA SUKABUMI,39820,RIBU RUPIAH,2022
156,32,JAWA BARAT,3273,KOTA BANDUNG,133378,RIBU RUPIAH,2022
157,32,JAWA BARAT,3274,KOTA CIREBON,78004,RIBU RUPIAH,2022
158,32,JAWA BARAT,3275,KOTA BEKASI,42421,RIBU RUPIAH,2022
159,32,JAWA BARAT,3276,KOTA DEPOK,38226,RIBU RUPIAH,2022
160,32,JAWA BARAT,3277,KOTA CIMAHI,65257,RIBU RUPIAH,2022
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,34050,RIBU RUPIAH,2022
162,32,JAWA BARAT,3279,KOTA BANJAR,23812,RIBU RUPIAH,2022
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,51380,RIBU RUPIAH,2023
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,29370,RIBU RUPIAH,2023
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,22830,RIBU RUPIAH,2023
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,41370,RIBU RUPIAH,2023
167,32,JAWA BARAT,3205,KABUPATEN GARUT,26910,RIBU RUPIAH,2023
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,24170,RIBU RUPIAH,2023
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,31830,RIBU RUPIAH,2023
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,27080,RIBU RUPIAH,2023
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,25970,RIBU RUPIAH,2023
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,31120,RIBU RUPIAH,2023
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,36770,RIBU RUPIAH,2023
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,54670,RIBU RUPIAH,2023
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,30120,RIBU RUPIAH,2023
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,79190,RIBU RUPIAH,2023
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,115170,RIBU RUPIAH,2023
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,121650,RIBU RUPIAH,2023
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,30620,RIBU RUPIAH,2023
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,33040,RIBU RUPIAH,2023
181,32,JAWA BARAT,3271,KOTA BOGOR,53240,RIBU RUPIAH,2023
182,32,JAWA BARAT,3272,KOTA SUKABUMI,42560,RIBU RUPIAH,2023
183,32,JAWA BARAT,3273,KOTA BANDUNG,133378,RIBU RUPIAH,2023
184,32,JAWA BARAT,3274,KOTA CIREBON,84140,RIBU RUPIAH,2023
185,32,JAWA BARAT,3275,KOTA BEKASI,45280,RIBU RUPIAH,2023
186,32,JAWA BARAT,3276,KOTA DEPOK,40820,RIBU RUPIAH,2023
187,32,JAWA BARAT,3277,KOTA CIMAHI,68550,RIBU RUPIAH,2023
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,36960,RIBU RUPIAH,2023
189,32,JAWA BARAT,3279,KOTA BANJAR,25280,RIBU RUPIAH,2023
